#{"t_start": 1741831156.5895624, "env_id": "None"}
r,l,t
-2697.385278,513,4749.612324
-2115.846695,513,4755.526393
-1723.944456,513,4765.834622
-1040.632942,513,4771.727178
-1010.38032,513,4777.611387
-1008.756121,513,4783.487527
-1005.705528,513,4789.347616
-1002.938361,513,4795.379112
-1001.703341,513,4801.021555
-999.437136,513,4806.845237
-999.71402,513,4812.66678
-998.485866,513,4818.832872
-998.006857,513,4824.29374
-999.813126,513,4830.117015
-1003.521237,513,4835.963219
-1003.138947,513,4841.950268
-1004.357575,513,4852.04181
-1008.42913,513,4857.916729
-1008.107286,513,4863.790472
-1008.125248,513,4869.664815
-1006.290349,513,4875.527622
77099.264794,513,4882.277007
1553.556307,513,4889.823761
272.747753,513,4898.281509
-1360.420769,513,4905.351788
-1292.047227,513,4912.980973
-1271.709969,513,4920.484387
-1260.05457,513,4928.602299
-1245.747141,513,4935.261513
-1223.314988,513,4942.4706
-1200.216281,513,4954.847509
-1196.251651,513,4961.885733
-1192.496328,513,4968.901215
-1180.264454,513,4975.839741
-1167.210201,513,4982.695841
-1156.14095,513,4989.490118
-1150.227508,513,4996.241065
-1130.250938,513,5002.87546
-1119.690054,513,5009.441193
-1103.33934,513,5015.902701
-1074.467215,513,5022.18235
-1064.403592,513,5028.404883
-1074.324547,513,5034.689609
-1074.706898,513,5043.273841
-1075.153091,513,5051.968493
-1077.185578,513,5058.270203
-1078.218941,513,5064.579591
-1082.528125,513,5070.913421
-1089.67159,513,5077.293225
-1089.643247,513,5083.671701
-1088.716725,513,5090.044022
-1084.380211,513,5096.396207
-1082.542223,513,5102.727473
-1081.930154,513,5109.057138
906.051338,513,5115.36959
1176.930837,513,5121.670534
560.025863,513,5127.970858
1325.079748,513,5134.280355
1210.833946,513,5145.341046
1008.043273,513,5151.689742
1000.875269,513,5158.048769
1325.151963,513,5164.414489
1392.59006,513,5170.810733
458.69922,513,5177.34593
51.032148,513,5183.986871
856.471149,513,5190.693856
1020.702338,513,5197.48516
1529.836607,513,5204.426317
1613.919348,513,5211.522191
2079.38235,513,5218.740494
1605.022991,513,5226.076116
1650.305301,513,5233.668991
2810.153057,513,5247.449157
-60.535441,513,5255.313317
-1150.290687,513,5263.017751
-564.299996,513,5270.678035
-558.60483,513,5278.340451
-534.181532,513,5285.998657
17.635896,513,5293.729583
-46.605878,513,5301.403285
655.463163,513,5309.34772
4285.721161,513,5317.046791
1852.1975,513,5324.930212
-1438.52371,513,5332.568879
-626.945677,513,5340.440033
-564.299736,513,5347.769006
978.252104,513,5361.151646
-1227.589496,513,5368.796544
-679.599171,513,5376.457852
-628.744902,513,5384.0871
-370.691066,513,5391.75315
-639.760173,513,5399.386068
-564.300026,513,5408.853699
-486.878013,513,5414.766886
157.108697,513,5422.511407
-944.988387,513,5430.271945
-559.662314,513,5439.772435
-564.300102,513,5445.748158
-564.3,513,5453.425194
-564.300112,513,5461.102755
-564.300018,513,5474.491103
-564.299996,513,5482.144121
-564.299828,513,5489.790409
-564.299984,513,5497.410404
-563.399772,513,5505.006993
-565.200386,513,5512.63124
-564.3,513,5520.254122
-564.3,513,5527.867522
-564.3,513,5535.487298
-564.299978,513,5543.147126
-564.29988,513,5550.815419
-564.30003,513,5558.48943
-564.300052,513,5566.160359
-564.3,513,5573.804707
-562.794329,513,5587.128804
-557.610346,513,5594.747646
-186.701791,513,5602.353513
-447.655119,513,5609.961484
-677.658032,513,5617.524208
-564.30024,513,5625.029211
-74.959829,513,5632.589219
-829.549066,513,5640.155633
-405.505272,513,5647.68005
755.938231,513,5655.228745
-748.049149,513,5662.783452
-949.898823,513,5670.315408
-564.300196,513,5677.812333
53.878738,513,5685.352919
-309.370042,513,5698.538356
-1428.914661,513,5706.100655
-568.739186,513,5713.656219
69.57075,513,5721.245829
-865.000221,513,5728.853104
-437.594158,513,5736.471792
-577.216894,513,5744.050832
577.797637,513,5751.641784
-712.557232,513,5759.249352
261.268925,513,5766.759818
1643.886154,513,5774.389108
442.513404,513,5782.198148
-2261.864402,513,5789.979226
-1056.511151,513,5797.593622
-1378.94866,513,5810.818022
379.24376,513,5818.379651
-671.204491,513,5825.938073
-1080.857214,513,5833.478761
256.841377,513,5840.996051
-6.721521,513,5848.527685
-242.070111,513,5856.067603
-513.347998,513,5864.993668
-113.867923,513,5871.156446
-770.504557,513,5878.691172
-10.557948,513,5886.226795
104.538141,513,5895.202649
105.135677,513,5901.489838
-193.05632,513,5909.26838
-56.226395,513,5922.931903
-474.188419,513,5930.786177
1512.577547,513,5938.665441
1050.804065,513,5946.423122
-64.0375,513,5954.054385
-609.769303,513,5961.576135
-490.919633,513,5969.08228
983.607079,513,5976.665847
1855.054651,513,5984.373061
3362.628328,513,5992.156953
341.194746,513,5999.85002
-1412.17002,513,6007.456672
-564.299794,513,6015.02459
-564.300184,513,6022.605633
-564.30022,513,6035.914562
-564.299792,513,6043.554084
-564.30015,513,6051.208314
-564.299932,513,6058.8811
-564.3,513,6066.544317
-564.3,513,6074.225563
-564.3,513,6081.902207
-564.3,513,6089.583559
-564.3,513,6097.267804
-564.300084,513,6104.938985
-564.299928,513,6112.564958
-564.299918,513,6120.20247
-564.299966,513,6127.859529
-560.775237,513,6135.524136
-564.300018,513,6148.859339
-564.30002,513,6156.48217
-564.29987,513,6164.117009
214.949677,513,6171.767796
1187.547933,513,6179.494718
-1220.23134,513,6187.15965
-611.182046,513,6194.797712
-689.557288,513,6202.422616
-467.962799,513,6210.052011
-298.446374,513,6217.69067
-733.478053,513,6225.350487
-563.824191,513,6232.972249
-564.299762,513,6240.602297
-554.398229,513,6248.230912
-564.299976,513,6261.530362
-564.299988,513,6269.188892
-537.058424,513,6276.845397
-491.849444,513,6284.58558
402.415227,513,6292.309184
-60.535208,513,6300.051022
782.332521,513,6307.810989
4148.755856,513,6315.778796
856.582528,513,6324.596254
1568.614663,513,6331.625598
752.99893,513,6339.641329
2013.380362,513,6347.619538
-79.861296,513,6356.344342
-890.061325,513,6363.042968
-564.300004,513,6376.372838
-564.300014,513,6383.980967
-564.30002,513,6391.59337
-564.3,513,6399.206171
-564.299726,513,6406.830986
-564.300228,513,6414.465166
-564.299958,513,6422.107773
-564.300014,513,6429.734817
-564.300164,513,6437.334459
-564.299782,513,6444.908799
-564.300066,513,6452.45063
-564.29995,513,6459.987744
-554.273129,513,6467.516507
-574.17918,513,6474.991892
-564.300192,513,6488.054885
-564.3,513,6495.542285
-564.299926,513,6503.032635
-476.234867,513,6510.534314
-614.278805,513,6518.019214
-565.019508,513,6525.518904
-564.3,513,6532.998951
-564.29998,513,6540.465431
-564.300044,513,6547.955438
-405.533634,513,6555.503082
-652.485914,513,6563.035466
-564.562332,513,6570.550143
-564.30001,513,6578.040823
-352.343894,513,6585.599305
-571.448933,513,6598.78004
-564.29997,513,6606.287825
-554.716996,513,6613.820957
-564.299834,513,6621.304523
-564.300178,513,6628.78427
-564.29973,513,6636.272813
-133.134226,513,6643.822509
-640.694306,513,6651.381814
116.838837,513,6659.001559
-712.704617,513,6666.562479
-841.218686,513,6674.166537
-564.3002,513,6681.702141
-469.066368,513,6689.252828
-604.307378,513,6696.80358
-563.321846,513,6709.926216
-565.278346,513,6717.405115
-564.300054,513,6724.862363
-561.00755,513,6732.317174
-564.300106,513,6739.730544
-564.300002,513,6747.927861
-564.299968,513,6754.616554
-564.300044,513,6762.062885
-564.29996,513,6769.485066
-564.300002,513,6777.631706
-564.300064,513,6784.397031
-564.300066,513,6791.879079
-564.3,513,6799.358173
-564.3,513,6807.519613
-564.3,513,6819.862332
-564.3,513,6827.322136
-564.3,513,6834.777459
-564.3,513,6842.22891
-564.3,513,6849.684552
-564.3,513,6857.174857
-564.3,513,6864.690701
-564.3,513,6874.463621
-564.3,513,6879.791436
-564.3,513,6887.372493
-564.3,513,6894.9792
-564.3,513,6904.796126
-564.3,513,6910.282979
-564.3,513,6917.934379
-564.3,513,6931.339797
-564.3,513,6939.021605
-564.3,513,6946.698846
-564.3,513,6954.37153
-564.300012,513,6962.010137
-564.3,513,6969.629314
-564.2999,513,6977.286745
-564.300194,513,6984.937322
-564.29983,513,6992.588701
-564.299966,513,7000.196976
-564.299978,513,7007.827722
-564.300186,513,7015.441654
-559.403403,513,7023.125756
-564.299964,513,7030.798539
-564.300024,513,7044.170556
-564.299954,513,7051.811632
-564.300006,513,7059.459996
-564.300228,513,7067.097105
-564.299986,513,7074.718428
-564.299994,513,7082.328679
-564.299982,513,7089.944968
-564.299832,513,7097.58355
-564.29999,513,7105.227818
-564.3,513,7112.819067
-564.3,513,7120.432338
-564.300194,513,7128.051442
-564.299998,513,7135.724135
-564.299832,513,7143.399106
-564.300002,513,7156.804724
-564.300004,513,7164.462718
-564.300174,513,7172.10397
-564.299826,513,7179.735996
-564.300002,513,7187.370288
-564.300024,513,7194.994631
-564.300156,513,7202.873249
-564.299818,513,7210.212534
-564.30009,513,7217.796206
-564.3,513,7225.373457
-564.3,513,7233.239498
-564.3,513,7240.57755
-564.3,513,7248.171307
-564.3,513,7255.778347
-564.3,513,7269.077223
-564.299968,513,7276.699207
-564.3,513,7284.329619
-564.3,513,7291.921498
-564.299922,513,7299.483707
-564.300018,513,7307.019168
-564.299982,513,7314.547283
-564.300198,513,7322.053997
-564.299838,513,7331.299294
-564.30009,513,7336.976947
-564.3,513,7344.449105
-564.3,513,7351.91336
-564.3,513,7361.140388
